duration_seconds,winrate_vs_greedy,type,run,source
8097.988227367401,0.0439453125,GA,,tron_20260610_012418.json
16262.794634342194,0.05078125,GA,,tron_20260610_034022.json
34933.285353422165,0.05078125,GA,,tron_20260610_085133.json
43228.647520542145,0.05078125,GA,,tron_20260610_110948.json
47541.69101047516,0.05078125,GA,,tron_20260610_122141.json
